Statistical profiling result from isolate-000002085CFFA3A0-v8.log, (19061 ticks, 297 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  10833   56.8%          C:\WINDOWS\SYSTEM32\ntdll.dll
   4014   21.1%          C:\Program Files\nodejs\node.exe
     64    0.3%          C:\WINDOWS\System32\KERNEL32.DLL
     57    0.3%          C:\WINDOWS\System32\KERNELBASE.dll
     42    0.2%          C:\WINDOWS\System32\WS2_32.dll
     20    0.1%          C:\WINDOWS\system32\mswsock.dll
      1    0.0%          C:\WINDOWS\System32\RPCRT4.dll
      1    0.0%          C:\WINDOWS\SYSTEM32\WINMM.dll

 [JavaScript]:
   ticks  total  nonlib   name
    237    1.2%    5.9%  LoadIC: A load IC from the snapshot
    196    1.0%    4.9%  Builtin: KeyedLoadIC_Megamorphic
    137    0.7%    3.4%  StoreIC: A store IC from the snapshot
    127    0.7%    3.2%  Builtin: FastNewClosure
    106    0.6%    2.6%  LazyCompile: *next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:178:16
     94    0.5%    2.3%  Builtin: InterpreterEntryTrampoline
     76    0.4%    1.9%  Builtin: StringEqual
     72    0.4%    1.8%  Builtin: CallFunction_ReceiverIsAny
     68    0.4%    1.7%  Builtin: KeyedStoreIC_Megamorphic_Strict
     62    0.3%    1.5%  LazyCompile: *Socket._writeGeneric net.js:708:42
     55    0.3%    1.4%  KeyedLoadIC: A keyed load IC from the snapshot
     50    0.3%    1.2%  Function: ~byteLength buffer.js:475:20
     46    0.2%    1.1%  Builtin: ArgumentsAdaptorTrampoline
     42    0.2%    1.0%  Function: ~parse C:\Users\ben\Documents\GitHub\busyapi\node_modules\media-typer\index.js:139:15
     40    0.2%    1.0%  Builtin: RegExpPrototypeTest
     39    0.2%    1.0%  Stub: StringAddStub
     38    0.2%    0.9%  LazyCompile: *Readable.read _stream_readable.js:365:35
     36    0.2%    0.9%  Builtin: RegExpPrototypeExec
     36    0.2%    0.9%  Builtin: CompileLazy
     34    0.2%    0.8%  LazyCompile: *parserOnHeadersComplete _http_common.js:62:33
     33    0.2%    0.8%  Function: ~Buffer.write buffer.js:855:34
     32    0.2%    0.8%  LazyCompile: *logger C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:103:25
     32    0.2%    0.8%  LazyCompile: *end _http_outgoing.js:726:45
     32    0.2%    0.8%  LazyCompile: *emit events.js:156:44
     29    0.2%    0.7%  Builtin: Call_ReceiverIsNullOrUndefined
     28    0.1%    0.7%  LazyCompile: *send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
     28    0.1%    0.7%  LazyCompile: *_storeHeader _http_outgoing.js:290:22
     28    0.1%    0.7%  Function: ~removeAllListeners events.js:410:32
     27    0.1%    0.7%  LazyCompile: *handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:135:31
     27    0.1%    0.7%  LazyCompile: *_tickCallback internal/process/next_tick.js:151:25
     27    0.1%    0.7%  Builtin: StringToLowerCaseIntl
     27    0.1%    0.7%  Builtin: StringCharCodeAt
     26    0.1%    0.6%  LazyCompile: *resOnFinish _http_server.js:509:21
     26    0.1%    0.6%  LazyCompile: *parserOnIncoming _http_server.js:545:26
     26    0.1%    0.6%  LazyCompile: *expressInit C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\middleware\init.js:22:30
     26    0.1%    0.6%  Builtin: FastNewObject
     26    0.1%    0.6%  Builtin: CallBoundFunction
     25    0.1%    0.6%  LazyCompile: *header C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:707:29
     25    0.1%    0.6%  LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
     25    0.1%    0.6%  Function: ~serveStatic C:\Users\ben\Documents\GitHub\busyapi\node_modules\serve-static\index.js:72:31
     25    0.1%    0.6%  Builtin: JSConstructStubGenericUnrestrictedReturn
     23    0.1%    0.6%  LazyCompile: *Socket.setTimeout net.js:378:39
     22    0.1%    0.5%  RegExp: ^ *([A-Za-z0-9][A-Za-z0-9!#$&^_-]{0\,126})\\/([A-Za-z0-9][A-Za-z0-9!#$&^_.+-]{0\,126}) *$
     21    0.1%    0.5%  LazyCompile: *clearBuffer _stream_writable.js:469:21
     21    0.1%    0.5%  LazyCompile: *cleanup C:\Users\ben\Documents\GitHub\busyapi\node_modules\ee-first\index.js:58:19
     21    0.1%    0.5%  LazyCompile: *_send _http_outgoing.js:216:49
     21    0.1%    0.5%  Function: ~b native typedarray.js:990:48
     21    0.1%    0.5%  Builtin: Call_ReceiverIsAny
     20    0.1%    0.5%  Stub: JSEntryStub
     20    0.1%    0.5%  Function: ~emitTwo events.js:124:17
     19    0.1%    0.5%  LazyCompile: *onwrite _stream_writable.js:422:17
     19    0.1%    0.5%  Function: ~splitType C:\Users\ben\Documents\GitHub\busyapi\node_modules\media-typer\index.js:245:19
